returns/VBZ	(root,1) (returns,1) (VBZ,1) 
Garden/NNP	(NN,1) (Garden,1) (NNP,1) (VBN,1) (ccomp,1) (Berners-Lee,1) (VBP,1) (root,1) (received,1) (nsubj,1) (compound,1) (urlLink,1) 
's/VBZ	(root,1) ('s,1) (VBZ,1) 
Trackword/NN	(NN,1) (VBP,1) (root,1) (Trackword,1) (do,1) (dobj,1) 
unsettled/JJ	(JJ,2) (connected,1) (NN,1) (VBN,1) (responsible,1) (root,1) (unsettled,1) (weather,1) (conj:and,1) (dobj,1) (amod,1) 
Straits/NNS	(acl:relcl,1) (CD,1) (2,1) (named,1) (NNS,1) (Straits,1) (VBP,1) (nmod:by,1) (root,1) (VBD,1) (no.,1) (dobj,1) 
launched/VBN	(JJ,1) (similar,1) (VBN,1) (root,1) (conj:and,1) (launched,1) 
did/VBD	(JJ,1) (NN,1) (think,1) (James,1) (aux,1) (blog,1) (amod,1) (VB,1) (NNP,1) (ccomp,1) (convinced,1) (root,1) (VBD,1) (VBG,1) (page,1) (nsubj,2) (did,1) 
drugs/NNS	(NN,2) (acl:relcl,1) (rebel,1) (drugs,1) (part,1) (VBZ,1) (NNS,1) (ccomp,1) (root,1) (protesting,1) (VBG,1) (advcl,1) (wishes,1) (dobj,1) 
has/VBZ	(root,1) (has,1) (VBZ,1) 
Now/RB	(RB,1) (advmod,1) (does,1) (root,1) (Now,1) (VBZ,1) 
misplaced/VBN	(VBN,1) (VBP,1) (root,1) (misplaced,1) (xcomp,1) (seem,1) 
entry/NN	(NN,1) (entry,1) (root,1) 
bad/JJ	(JJ,1) (ccomp,1) (bad,1) (root,1) (is,1) (VBZ,1) 
his/PRP$	(NN,1) (his,1) (PRP$,1) (nmod:poss,1) (root,1) (urlLink,1) 
Maybe/RB	(NN,1) (RB,1) (advmod,1) (Maybe,1) (part,1) (root,1) 
further/JJ	(NN,1) (JJ,1) (root,1) (reading,1) (has,1) (further,1) (nsubj,1) (amod,1) (VBZ,1) 
Microsoft/NNP	(NNP,1) (NNS,1) (nmod:with,1) (lost,1) (root,1) (VBD,1) (parataxis,1) (Microsoft,1) (people,1) 
prompt/VB	(root,1) (VB,1) (prompt,1) 
include/VB	(include,1) (root,1) (VB,2) (prompt,1) (xcomp,1) 
protesting/VBG	(NN,2) (acl:relcl,1) (rebel,1) (ccomp,1) (part,1) (root,1) (protesting,1) (VBG,1) (advcl,1) (wishes,1) (VBZ,1) 
Or/CC	(CC,1) (cc,1) (Or,1) (root,1) (VB,1) (urlLink,1) 
support/NN	(JJ,1) (NN,1) (sure,1) (VBN,1) (root,1) (VBD,1) (nmod:to,1) (advcl,1) (sent,1) (support,1) (happened,1) (dep,1) 
final/NNP	(NNP,1) (booked,1) (nmod:in,1) (Gloucester,1) (root,1) (final,1) (VBD,1) (advcl,1) (VBZ,1) 
1927/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (1927,1) (nsubj,1) 
modest/JJ	(NN,1) (JJ,1) (nmod:with,1) (root,1) (do,1) (position,1) (VB,2) (amod,1) (make,1) (xcomp,1) (modest,1) 
virus/NN	(JJ,1) (NN,1) (be,1) (writers,1) (VB,1) (virus,1) (compound,1) (dep,1) (targeting,1) (NNS,1) (ccomp,1) (root,1) (safe,1) (VBG,1) (nsubj,1) 
world/NN	(NN,2) (NNP,1) (world,1) (web,1) (nmod:of,1) (root,1) (father,1) (has,1) (nsubj,1) (compound,1) (VBZ,1) 
about/RB	(RB,1) (CD,1) (advmod,1) (hours,1) (NNS,1) (last,1) (nummod,1) (6,1) (root,1) (about,1) (VB,1) (dobj,1) 
do/VBP	(VBP,1) (root,1) (do,1) 
also/RB	(offer,1) (acl:relcl,1) (RB,1) (advmod,1) (NNS,1) (JJR,1) (VBP,1) (more,1) (root,1) (also,1) (amod,1) (people,1) 
Chris/NNP	(NNP,1) (VBN,1) (ccomp,1) (Chris,1) (root,1) (chose,1) (VBD,1) (nmod:to,1) (done,1) 
caused/VBD''	(NN,1) (acl:relcl,1) (VBD'',1) (caused,1) (root,1) (type,1) 
reading/NN	(NN,1) (root,1) (reading,1) (has,1) (nsubj,1) (VBZ,1) 
existing/VBG	(nmod:than,1) (existing,1) (NNS,2) (JJR,1) (more,1) (root,1) (VBG,1) (amod,2) (people,1) (rivals,1) 
good/JJ	(NN,3) (JJ,2) (nmod:from,1) (site,1) (BBC,1) (extract,1) (root,1) (amod,2) (compound,1) (good,1) (article,1) 
projects/NNS	(NNS,1) (VBN,1) (projects,1) (nsubjpass,1) (root,1) (planned,1) 
You/PRP	(root,1) (go,1) (VB,1) (nsubj,1) (You,1) (PRP,1) 
320-year-old/JJ	(NN,1) (JJ,1) (320-year-old,1) (VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (nsubj,1) (amod,1) (linked,1) (cello,1) 
mine/NN	(NN,2) (mine,1) (nmod:in,1) (root,1) (makes,1) (nmod:during,1) (time,1) (VBZ,1) 
Smarty/NNP	(Smarty,1) (NNP,2) (VBN,1) (Born,1) (root,1) (nmod:on,1) (compound,1) (April,1) 
got/VBD	(root,1) (VBD,1) (got,1) 
watch/VB	(VBP,1) (watch,1) (root,1) (advcl,1) (do,1) (VB,1) 
Best/NN	(NN,2) (Mate,1) (root,1) (chose,1) (VBD,1) (Best,1) (dobj,1) (compound,1) 
Hoping/VBG	(VBN,1) (Hoping,1) (root,1) (programmed,1) (VBG,1) (advcl,1) 
mates/NNS	(JJ,1) (similar,1) (NNS,1) (mates,1) (root,1) (conj:and,1) (nsubj,1) (whilst,1) (VBZ,1) 
get/VBP	(VBP,1) (get,1) (root,1) 
3/CD	(CD,1) (3,1) (VBP,1) (root,1) (no.,1) (dep,1) 
voices/NNS	(acl:relcl,1) (CD,1) (VBP,2) (voices,1) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (NNP,1) (NNS,1) (3,1) (root,1) (nsubj,2) (free,1) 
Majors/NNPS	(NNP,1) (PRP$,1) (ccomp,1) (VBP,1) (root,1) (Majors,1) (NNPS,1) (my,1) (nsubj,1) (Tomorrow,1) (compound,1) (urlLink,1) 
blog/VBG	(JJ,1) (NN,1) (NNP,1) (convinced,1) (James,1) (root,1) (VBG,1) (page,1) (nsubj,2) (blog,1) (amod,1) 
Zurich/NNP	(NNP,2) (booked,1) (nmod:in,1) (Gloucester,1) (root,1) (final,1) (VBD,1) (advcl,1) (Zurich,1) (compound,1) (VBZ,1) 
quite/RB	(JJ,2) (RB,1) (similar,1) (advmod,1) (root,1) (quite,1) (conj:and,1) (nice,1) 
two/CD	(NN,1) (CD,1) (nummod,1) (league,1) (root,1) (two,1) 
more/JJR	(NNS,1) (JJR,1) (more,1) (root,1) (amod,1) (people,1) 
171m/JJ	(NN,2) (JJ,1) (week,1) (171m,1) (root,1) (starts,1) (dobj,1) (amod,1) (dep,1) (VBZ,1) (tower,1) 
On/IN	(JJ,1) (CD,1) (IN,1) (able,1) (root,1) (8,1) (nmod:on,1) (case,1) (On,1) 
jerk/VB	(JJ,2) (similar,1) (jerk,1) (root,1) (conj:and,1) (VB,1) (nice,1) (xcomp,1) 
free/JJ	(NN,1) (JJ,1) (root,1) (e-mail,1) (VB,1) (nsubj,1) (free,1) (amod,1) (prompt,1) 
purchase/VB	(ccomp,1) (IN,1) (root,1) (came,1) (purchase,1) (VBD,1) (VB,1) (off,1) (xcomp,1) 
first/JJ	(JJ,1) (NNS,1) (minutes,1) (root,1) (Watch,1) (dobj,1) (amod,1) (first,1) (VBZ,1) 
account/VBP	(VBP,1) (root,1) (account,1) 
gmail/NN	(gmail,1) (NN,1) (VBP,1) (root,1) (nsubj,1) (account,1) 
similar/JJ	(JJ,1) (similar,1) (root,1) 
change/VB	(NN,1) (JJ,1) (root,1) (change,1) (VB,1) (ummm,1) (appos,1) (xcomp,1) (tempted,1) 
Darkness/NN	(NN,1) (Darkness,1) (root,1) (beat,1) (VBD,1) (dobj,1) 
third/JJ	(NN,1) (acl:relcl,1) (JJ,1) (rain,1) (Years,1) (nmod:into,1) (2000,1) (amod,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (third,1) (root,1) (VBD,1) (nsubj,1) 
Microsoft/FW	(FW,1) (root,1) (Microsoft,1) 
anyone/NN	(NN,1) (anyone,1) (root,1) (has,1) (dobj,1) (VBZ,1) 
text-based/JJ	(text-based,1) (JJ,1) (ads,1) (NNS,1) (VBN,1) (root,1) (programmed,1) (deliver,1) (advcl,1) (VB,1) (dobj,1) (amod,1) 
Dire/JJ	(acl:relcl,1) (JJ,1) (CD,1) (named,1) (VBP,1) (nmod:by,1) (no.,1) (amod,1) (2,1) (NNS,1) (Straits,1) (root,1) (Dire,1) (VBD,1) (dobj,1) 
HQ/NNP	(JJ,1) (NN,1) (James,1) (HQ,1) (blog,1) (amod,1) (NNP,2) (convinced,1) (root,1) (VBG,1) (page,1) (nsubj,2) (dobj,1) 
scene/NN	(JJ,1) (NN,2) (acl:relcl,1) (esp,1) (VBP,1) (recommend,1) (parataxis,1) (VB,2) (great,1) (furb,1) (panic,1) (scene,1) (ccomp,1) (root,1) (dobj,1) (nsubj,1) 
look/NN	(NN,1) (VBP,1) (root,1) (nsubj,1) (look,1) (nnnnice,1) 
Nikolaevich/NNP	(NN,1) (NNP,2) (Nikolaevich,1) (root,1) (Polozii,1) (compound,1) (urlLink,1) (dep,1) 
archives/NNS	(JJ,1) (NN,1) (archives,1) (NNS,1) (transfer,1) (nmod:of,1) (able,1) (root,1) (majority,1) (VB,1) (dobj,1) (xcomp,1) 
try/VB	(JJ,1) (connected,1) (NN,1) (acl:relcl,1) (VBN,1) (responsible,1) (root,1) (nmod:to,1) (try,1) (conj:and,1) (net,1) (VB,1) 
playing/VBG	(ccomp,2) (IN,1) (root,1) (playing,1) (VBG,1) (VB,1) (Went,1) (out,1) 
make/VB	(root,1) (VB,1) (make,1) 
league/NN	(NN,1) (league,1) (root,1) 
fairly/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (fairly,1) (safe,1) 
1996/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (1996,1) (month,1) (root,1) (VBD,1) (nsubj,1) 
knight/NN	(NN,2) (VBN,1) (nmod:of,1) (Born,1) (root,1) (knight,1) (dobj,1) (picture,1) 
Blowing/NNP	(NNP,2) (VBN,1) (Born,1) (root,1) (Blowing,1) (nmod:on,1) (compound,1) (April,1) 
